"","x"
"1","ENSG00000121552"
"2","ENSG00000133316"
"3","ENSG00000138650"
"4","ENSG00000143153"
"5","ENSG00000154654"
"6","ENSG00000167232"
"7","ENSG00000183246"
"8","ENSG00000183741"
"9","ENSG00000242265"
"10","ENSG00000276776"
"11","ENSG00000162989"
"12","ENSG00000128641"
"13","ENSG00000187837"
"14","ENSG00000144369"
"15","ENSG00000145147"
"16","ENSG00000127914"
"17","ENSG00000184260"
"18","ENSG00000249072"
"19","ENSG00000277443"
"20","ENSG00000203811"
"21","ENSG00000123636"
"22","ENSG00000143341"
"23","ENSG00000232196"
"24","ENSG00000172292"
"25","ENSG00000117461"
"26","ENSG00000095739"
"27","ENSG00000067715"
"28","ENSG00000158373"
"29","ENSG00000152818"
"30","ENSG00000196747"
"31","ENSG00000273542"
"32","ENSG00000115760"
"33","ENSG00000255823"
"34","ENSG00000005810"
"35","ENSG00000203812"
"36","ENSG00000168143"
"37","ENSG00000196787"
"38","ENSG00000269028"
"39","ENSG00000064787"
"40","ENSG00000270882"
"41","ENSG00000138593"
"42","ENSG00000273802"
"43","ENSG00000275713"
"44","ENSG00000180596"
"45","ENSG00000166446"
"46","ENSG00000204740"
"47","ENSG00000112297"
"48","ENSG00000070081"
"49","ENSG00000134909"
"50","ENSG00000041353"
"51","ENSG00000129003"
"52","ENSG00000092439"
"53","ENSG00000203814"
"54","ENSG00000273983"
"55","ENSG00000168298"
"56","ENSG00000184226"
"57","ENSG00000158406"
"58","ENSG00000050405"
"59","ENSG00000140396"
"60","ENSG00000137393"
"61","ENSG00000165379"
"62","ENSG00000173598"
"63","ENSG00000134245"
"64","ENSG00000124575"
"65","ENSG00000282017"
"66","ENSG00000168743"
"67","ENSG00000146676"
"68","ENSG00000112379"
"69","ENSG00000138448"
"70","ENSG00000270188"
"71","ENSG00000055609"
"72","ENSG00000156011"
"73","ENSG00000173230"
"74","ENSG00000102189"
"75","ENSG00000114770"
"76","ENSG00000137497"
"77","ENSG00000110090"
"78","ENSG00000197714"
"79","ENSG00000134313"
"80","ENSG00000131238"
"81","ENSG00000124171"
"82","ENSG00000165959"
"83","ENSG00000108375"
"84","ENSG00000184357"
"85","ENSG00000181826"
"86","ENSG00000274267"
"87","ENSG00000178568"
"88","ENSG00000121316"
"89","ENSG00000150760"
"90","ENSG00000277075"
"91","ENSG00000196866"
"92","ENSG00000173890"
"93","ENSG00000276368"
"94","ENSG00000115919"
"95","ENSG00000009954"
"96","ENSG00000233369"
"97","ENSG00000151458"
"98","ENSG00000115963"
"99","ENSG00000197961"
"100","ENSG00000112697"
"101","ENSG00000171862"
"102","ENSG00000128849"
"103","ENSG00000096696"
"104","ENSG00000103657"
"105","ENSG00000182168"
"106","ENSG00000196834"
"107","ENSG00000168843"
"108","ENSG00000197409"
"109","ENSG00000136536"
"110","ENSG00000141736"
"111","ENSG00000115290"
"112","ENSG00000079841"
"113","ENSG00000079691"
"114","ENSG00000124098"
"115","ENSG00000100815"
"116","ENSG00000101745"
"117","ENSG00000111052"
"118","ENSG00000198740"
"119","ENSG00000070214"
"120","ENSG00000163961"
"121","ENSG00000183598"
"122","ENSG00000213463"
"123","ENSG00000138764"
"124","ENSG00000169083"
"125","ENSG00000185130"
"126","ENSG00000257315"
"127","ENSG00000154153"
"128","ENSG00000278828"
"129","ENSG00000256618"
"130","ENSG00000277053"
"131","ENSG00000142687"
"132","ENSG00000115271"
"133","ENSG00000109654"
"134","ENSG00000187172"
"135","ENSG00000145526"
"136","ENSG00000274641"
"137","ENSG00000143748"
"138","ENSG00000277224"
"139","ENSG00000274129"
"140","ENSG00000139324"
"141","ENSG00000117859"
"142","ENSG00000169071"
"143","ENSG00000136205"
"144","ENSG00000104517"
"145","ENSG00000107518"
"146","ENSG00000198125"
"147","ENSG00000103479"
"148","ENSG00000156711"
"149","ENSG00000114796"
"150","ENSG00000169855"
"151","ENSG00000129292"
"152","ENSG00000119231"
"153","ENSG00000197238"
"154","ENSG00000274290"
"155","ENSG00000183091"
"156","ENSG00000059758"
"157","ENSG00000099250"
"158","ENSG00000160179"
"159","ENSG00000150347"
"160","ENSG00000151893"
"161","ENSG00000050030"
"162","ENSG00000099219"
"163","ENSG00000165322"
"164","ENSG00000120885"
"165","ENSG00000198948"
"166","ENSG00000118058"
"167","ENSG00000175895"
"168","ENSG00000183530"
"169","ENSG00000135677"
"170","ENSG00000109099"
"171","ENSG00000171631"
"172","ENSG00000124151"
"173","ENSG00000113494"
"174","ENSG00000130338"
"175","ENSG00000136603"
"176","ENSG00000276966"
"177","ENSG00000156103"
"178","ENSG00000223957"
"179","ENSG00000099290"
"180","ENSG00000143320"
"181","ENSG00000087076"
"182","ENSG00000052126"
"183","ENSG00000135968"
"184","ENSG00000124177"
"185","ENSG00000137501"
"186","ENSG00000078177"
"187","ENSG00000164938"
"188","ENSG00000253945"
"189","ENSG00000123104"
"190","ENSG00000124406"
"191","ENSG00000184270"
"192","ENSG00000162924"
"193","ENSG00000148943"
"194","ENSG00000113532"
"195","ENSG00000106261"
"196","ENSG00000274997"
"197","ENSG00000101972"
"198","ENSG00000166387"
"199","ENSG00000157514"
"200","ENSG00000237155"
"201","ENSG00000130066"
"202","ENSG00000165699"
"203","ENSG00000137642"
"204","ENSG00000102908"
"205","ENSG00000100234"
"206","ENSG00000172845"
"207","ENSG00000145012"
"208","ENSG00000125637"
"209","ENSG00000110422"
"210","ENSG00000184205"
"211","ENSG00000197128"
"212","ENSG00000182670"
"213","ENSG00000084093"
"214","ENSG00000188647"
"215","ENSG00000159399"
"216","ENSG00000187097"
"217","ENSG00000165997"
"218","ENSG00000124942"
"219","ENSG00000072135"
"220","ENSG00000107890"
"221","ENSG00000164190"
"222","ENSG00000249242"
"223","ENSG00000054654"
"224","ENSG00000157764"
"225","ENSG00000152926"
"226","ENSG00000172795"
"227","ENSG00000117868"
"228","ENSG00000071537"
"229","ENSG00000124635"
"230","ENSG00000196576"
"231","ENSG00000173281"
"232","ENSG00000205189"
"233","ENSG00000146757"
"234","ENSG00000135090"
"235","ENSG00000124429"
"236","ENSG00000109458"
"237","ENSG00000096006"
"238","ENSG00000153561"
"239","ENSG00000115339"
"240","ENSG00000185278"
"241","ENSG00000147813"
"242","ENSG00000169862"
"243","ENSG00000187257"
"244","ENSG00000154930"
"245","ENSG00000120594"
"246","ENSG00000136235"
"247","ENSG00000204843"
"248","ENSG00000164463"
"249","ENSG00000217128"
"250","ENSG00000186260"
"251","ENSG00000153046"
"252","ENSG00000174485"
"253","ENSG00000115267"
"254","ENSG00000044524"
"255","ENSG00000100201"
"256","ENSG00000163682"
"257","ENSG00000115020"
"258","ENSG00000135870"
"259","ENSG00000170027"
"260","ENSG00000095787"
"261","ENSG00000198718"
"262","ENSG00000234287"
"263","ENSG00000104765"
"264","ENSG00000070961"
"265","ENSG00000198721"
"266","ENSG00000135999"
"267","ENSG00000174738"
"268","ENSG00000198964"
"269","ENSG00000204219"
"270","ENSG00000081923"
"271","ENSG00000257093"
"272","ENSG00000241399"
"273","ENSG00000001629"
"274","ENSG00000205730"
"275","ENSG00000097096"
"276","ENSG00000085224"
"277","ENSG00000109670"
"278","ENSG00000072121"
"279","ENSG00000169018"
"280","ENSG00000066455"
"281","ENSG00000169905"
"282","ENSG00000145808"
"283","ENSG00000198417"
"284","ENSG00000107290"
"285","ENSG00000078674"
"286","ENSG00000196950"
"287","ENSG00000100784"
"288","ENSG00000178053"
"289","ENSG00000198142"
"290","ENSG00000144357"
"291","ENSG00000197153"
"292","ENSG00000172915"
"293","ENSG00000198146"
"294","ENSG00000124493"
"295","ENSG00000198538"
"296","ENSG00000176641"
