"","x"
"1","ENST00000271588"
"2","ENST00000632584"
"3","ENST00000367462"
"4","ENST00000331505"
"5","ENST00000378535"
"6","ENST00000331523"
"7","ENST00000392687"
"8","ENST00000379802"
"9","ENST00000304698"
"10","ENST00000553205"
"11","ENST00000407418"
"12","ENST00000261023"
"13","ENST00000343677"
"14","ENST00000369066"
"15","ENST00000504087"
"16","ENST00000264474"
"17","ENST00000549176"
"18","ENST00000265734"
"19","ENST00000374690"
"20","ENST00000379987"
"21","ENST00000231461"
"22","ENST00000284894"
"23","ENST00000560955"
"24","ENST00000561068"
"25","ENST00000399974"
"26","ENST00000262094"
"27","ENST00000367816"
"28","ENST00000618019"
"29","ENST00000264360"
"30","ENST00000604646"
"31","ENST00000266712"
"32","ENST00000612661"
"33","ENST00000564138"
"34","ENST00000369160"
"35","ENST00000491695"
"36","ENST00000394534"
"37","ENST00000510231"
"38","ENST00000570137"
"39","ENST00000395699"
"40","ENST00000409512"
"41","ENST00000479802"
"42","ENST00000331380"
"43","ENST00000538098"
"44","ENST00000359193"
"45","ENST00000443617"
"46","ENST00000375533"
"47","ENST00000339594"
"48","ENST00000356239"
"49","ENST00000633925"
"50","ENST00000306858"
"51","ENST00000539065"
"52","ENST00000361557"
"53","ENST00000432079"
"54","ENST00000222690"
"55","ENST00000300619"
"56","ENST00000620566"
"57","ENST00000265641"
"58","ENST00000403564"
"59","ENST00000295101"
"60","ENST00000541790"
"61","ENST00000614378"
"62","ENST00000371384"
"63","ENST00000515780"
"64","ENST00000336735"
"65","ENST00000367545"
"66","ENST00000619466"
"67","ENST00000369159"
"68","ENST00000536684"
"69","ENST00000377777"
"70","ENST00000360830"
"71","ENST00000369158"
"72","ENST00000373233"
"73","ENST00000230461"
"74","ENST00000452400"
"75","ENST00000357162"
"76","ENST00000552864"
"77","ENST00000251691"
"78","ENST00000395715"
"79","ENST00000310343"
"80","ENST00000327835"
"81","ENST00000554357"
"82","ENST00000370708"
"83","ENST00000486367"
"84","ENST00000380629"
"85","ENST00000298912"
"86","ENST00000358739"
"87","ENST00000611927"
"88","ENST00000461281"
"89","ENST00000377727"
"90","ENST00000259939"
"91","ENST00000367478"
"92","ENST00000482512"
"93","ENST00000615790"
"94","ENST00000376730"
"95","ENST00000214893"
"96","ENST00000329474"
"97","ENST00000296603"
"98","ENST00000249837"
"99","ENST00000239231"
"100","ENST00000454158"
"101","ENST00000175756"
"102","ENST00000251527"
"103","ENST00000371953"
"104","ENST00000327423"
"105","ENST00000453092"
"106","ENST00000377252"
"107","ENST00000369528"
"108","ENST00000410080"
"109","ENST00000473731"
"110","ENST00000520539"
"111","ENST00000281282"
"112","ENST00000360338"
"113","ENST00000622399"
"114","ENST00000304218"
"115","ENST00000377200"
"116","ENST00000540040"
"117","ENST00000527272"
"118","ENST00000367701"
"119","ENST00000525423"
"120","ENST00000618527"
"121","ENST00000244534"
"122","ENST00000260197"
"123","ENST00000374720"
"124","ENST00000633556"
"125","ENST00000392657"
"126","ENST00000371610"
"127","ENST00000295888"
"128","ENST00000525878"
"129","ENST00000411767"
"130","ENST00000371998"
"131","ENST00000504562"
"132","ENST00000283632"
"133","ENST00000404735"
"134","ENST00000395384"
"135","ENST00000338700"
"136","ENST00000244763"
"137","ENST00000286614"
"138","ENST00000435532"
"139","ENST00000494445"
"140","ENST00000318037"
"141","ENST00000600213"
"142","ENST00000474889"
"143","ENST00000372004"
"144","ENST00000243326"
"145","ENST00000283206"
"146","ENST00000377861"
"147","ENST00000523014"
"148","ENST00000395961"
"149","ENST00000613246"
"150","ENST00000341023"
"151","ENST00000443968"
"152","ENST00000400546"
"153","ENST00000281513"
"154","ENST00000296328"
"155","ENST00000584437"
"156","ENST00000303910"
"157","ENST00000367815"
"158","ENST00000397786"
"159","ENST00000409947"
"160","ENST00000356476"
"161","ENST00000264170"
"162","ENST00000395076"
"163","ENST00000451531"
"164","ENST00000267622"
"165","ENST00000506581"
"166","ENST00000442267"
"167","ENST00000379638"
"168","ENST00000230914"
"169","ENST00000511112"
"170","ENST00000369163"
"171","ENST00000362063"
"172","ENST00000550078"
"173","ENST00000334955"
"174","ENST00000355666"
"175","ENST00000381440"
"176","ENST00000263642"
"177","ENST00000457554"
"178","ENST00000567815"
"179","ENST00000326793"
"180","ENST00000621411"
"181","ENST00000427120"
"182","ENST00000578186"
"183","ENST00000334351"
"184","ENST00000367607"
"185","ENST00000541774"
"186","ENST00000331442"
"187","ENST00000310455"
"188","ENST00000333151"
"189","ENST00000335727"
"190","ENST00000377266"
"191","ENST00000307630"
"192","ENST00000264449"
"193","ENST00000279873"
"194","ENST00000421745"
"195","ENST00000417640"
"196","ENST00000487692"
"197","ENST00000409184"
"198","ENST00000377275"
"199","ENST00000620222"
"200","ENST00000570149"
"201","ENST00000409882"
"202","ENST00000342449"
"203","ENST00000369686"
"204","ENST00000407280"
"205","ENST00000295958"
"206","ENST00000298281"
"207","ENST00000404251"
"208","ENST00000496384"
"209","ENST00000263805"
"210","ENST00000540664"
"211","ENST00000433473"
"212","ENST00000376087"
"213","ENST00000502280"
