"","x"
"1","ENSG00000013588"
"2","ENSG00000113739"
"3","ENSG00000140988"
"4","ENSG00000143126"
"5","ENSG00000150687"
"6","ENSG00000160182"
"7","ENSG00000161671"
"8","ENSG00000198695"
"9","ENSG00000117984"
"10","ENSG00000164690"
"11","ENSG00000196924"
"12","ENSG00000177169"
"13","ENSG00000168461"
"14","ENSG00000141753"
"15","ENSG00000197111"
"16","ENSG00000164292"
"17","ENSG00000258947"
"18","ENSG00000196208"
"19","ENSG00000101057"
"20","ENSG00000140443"
"21","ENSG00000160211"
"22","ENSG00000004478"
"23","ENSG00000198763"
"24","ENSG00000196656"
"25","ENSG00000105202"
"26","ENSG00000198786"
"27","ENSG00000274950"
"28","ENSG00000167767"
"29","ENSG00000170017"
"30","ENSG00000131171"
"31","ENSG00000160932"
"32","ENSG00000110955"
"33","ENSG00000111907"
"34","ENSG00000106541"
"35","ENSG00000104267"
"36","ENSG00000164128"
"37","ENSG00000150753"
"38","ENSG00000141959"
"39","ENSG00000006327"
"40","ENSG00000158710"
"41","ENSG00000184009"
"42","ENSG00000075461"
"43","ENSG00000175356"
"44","ENSG00000167552"
"45","ENSG00000135486"
"46","ENSG00000225840"
"47","ENSG00000197451"
"48","ENSG00000170892"
"49","ENSG00000153395"
"50","ENSG00000101144"
"51","ENSG00000261236"
"52","ENSG00000181350"
"53","ENSG00000089280"
"54","ENSG00000136938"
"55","ENSG00000167553"
"56","ENSG00000185499"
"57","ENSG00000275079"
"58","ENSG00000180543"
"59","ENSG00000198886"
"60","ENSG00000183779"
"61","ENSG00000109062"
"62","ENSG00000240342"
"63","ENSG00000147403"
"64","ENSG00000158747"
"65","ENSG00000212907"
"66","ENSG00000111676"
"67","ENSG00000075624"
"68","ENSG00000170421"
"69","ENSG00000110958"
"70","ENSG00000205426"
"71","ENSG00000115461"
"72","ENSG00000182481"
"73","ENSG00000134202"
"74","ENSG00000174945"
"75","ENSG00000111341"
"76","ENSG00000029993"
"77","ENSG00000161016"
"78","ENSG00000044574"
"79","ENSG00000123416"
"80","ENSG00000073060"
"81","ENSG00000166986"
"82","ENSG00000005022"
"83","ENSG00000135549"
"84","ENSG00000236552"
"85","ENSG00000177731"
"86","ENSG00000112787"
"87","ENSG00000184216"
"88","ENSG00000169100"
"89","ENSG00000162458"
"90","ENSG00000185551"
"91","ENSG00000171604"
"92","ENSG00000246705"
"93","ENSG00000167996"
"94","ENSG00000134333"
"95","ENSG00000132475"
"96","ENSG00000111669"
"97","ENSG00000081154"
"98","ENSG00000101210"
"99","ENSG00000159840"
"100","ENSG00000206452"
"101","ENSG00000166411"
"102","ENSG00000067225"
"103","ENSG00000109321"
"104","ENSG00000132507"
"105","ENSG00000125534"
"106","ENSG00000156398"
"107","ENSG00000159167"
"108","ENSG00000279576"
"109","ENSG00000198830"
"110","ENSG00000135446"
"111","ENSG00000076685"
"112","ENSG00000100097"
"113","ENSG00000196136"
"114","ENSG00000087510"
"115","ENSG00000161642"
"116","ENSG00000091527"
"117","ENSG00000152518"
"118","ENSG00000096384"
"119","ENSG00000108179"
"120","ENSG00000168439"
"121","ENSG00000143537"
"122","ENSG00000173812"
"123","ENSG00000100804"
"124","ENSG00000164032"
"125","ENSG00000197956"
"126","ENSG00000162889"
"127","ENSG00000169583"
"128","ENSG00000184363"
"129","ENSG00000105193"
"130","ENSG00000214485"
"131","ENSG00000139289"
"132","ENSG00000182199"
"133","ENSG00000141510"
"134","ENSG00000111057"
"135","ENSG00000138434"
"136","ENSG00000185825"
"137","ENSG00000254772"
"138","ENSG00000110651"
"139","ENSG00000181163"
"140","ENSG00000115468"
"141","ENSG00000166750"
"142","ENSG00000180921"
"143","ENSG00000167881"
"144","ENSG00000108352"
"145","ENSG00000135404"
"146","ENSG00000184860"
"147","ENSG00000111641"
"148","ENSG00000175920"
"149","ENSG00000180694"
"150","ENSG00000105281"
"151","ENSG00000279483"
"152","ENSG00000163993"
"153","ENSG00000275323"
"154","ENSG00000131788"
"155","ENSG00000147804"
"156","ENSG00000110321"
"157","ENSG00000112245"
"158","ENSG00000008323"
"159","ENSG00000234857"
"160","ENSG00000159166"
"161","ENSG00000188229"
"162","ENSG00000161960"
"163","ENSG00000170144"
"164","ENSG00000180891"
"165","ENSG00000127564"
"166","ENSG00000102934"
"167","ENSG00000004399"
"168","ENSG00000138061"
"169","ENSG00000197702"
"170","ENSG00000189403"
"171","ENSG00000121413"
"172","ENSG00000100462"
"173","ENSG00000106397"
"174","ENSG00000137575"
"175","ENSG00000171345"
"176","ENSG00000205352"
"177","ENSG00000163399"
"178","ENSG00000004059"
"179","ENSG00000166886"
"180","ENSG00000184575"
"181","ENSG00000186468"
"182","ENSG00000072110"
"183","ENSG00000173156"
"184","ENSG00000003249"
"185","ENSG00000168090"
"186","ENSG00000196498"
"187","ENSG00000080824"
"188","ENSG00000243678"
"189","ENSG00000163468"
"190","ENSG00000149489"
"191","ENSG00000133104"
"192","ENSG00000105220"
"193","ENSG00000081803"
"194","ENSG00000139514"
"195","ENSG00000087191"
"196","ENSG00000148334"
"197","ENSG00000102393"
"198","ENSG00000109472"
"199","ENSG00000077238"
"200","ENSG00000077549"
"201","ENSG00000183624"
"202","ENSG00000131504"
"203","ENSG00000176014"
"204","ENSG00000121579"
"205","ENSG00000031698"
"206","ENSG00000062485"
"207","ENSG00000100219"
"208","ENSG00000086062"
"209","ENSG00000197157"
"210","ENSG00000169992"
"211","ENSG00000145907"
"212","ENSG00000111602"
"213","ENSG00000167747"
"214","ENSG00000188735"
"215","ENSG00000184897"
"216","ENSG00000247077"
"217","ENSG00000113648"
"218","ENSG00000203879"
"219","ENSG00000147255"
"220","ENSG00000189159"
"221","ENSG00000186187"
"222","ENSG00000111799"
"223","ENSG00000171530"
"224","ENSG00000156194"
"225","ENSG00000138668"
"226","ENSG00000164024"
"227","ENSG00000100911"
"228","ENSG00000135506"
"229","ENSG00000103260"
"230","ENSG00000126602"
"231","ENSG00000167770"
"232","ENSG00000054598"
"233","ENSG00000114942"
"234","ENSG00000185803"
"235","ENSG00000182985"
"236","ENSG00000112759"
"237","ENSG00000111640"
"238","ENSG00000114491"
"239","ENSG00000116473"
"240","ENSG00000198888"
"241","ENSG00000135052"
"242","ENSG00000148671"
"243","ENSG00000172270"
"244","ENSG00000176890"
"245","ENSG00000157600"
"246","ENSG00000152137"
"247","ENSG00000011451"
"248","ENSG00000085491"
"249","ENSG00000124067"
"250","ENSG00000137309"
"251","ENSG00000196497"
"252","ENSG00000144028"
"253","ENSG00000089159"
"254","ENSG00000130707"
"255","ENSG00000087077"
"256","ENSG00000159176"
"257","ENSG00000064205"
"258","ENSG00000135414"
"259","ENSG00000182004"
"260","ENSG00000063660"
"261","ENSG00000281540"
"262","ENSG00000066583"
"263","ENSG00000140675"
"264","ENSG00000154122"
"265","ENSG00000116649"
"266","ENSG00000135624"
"267","ENSG00000228253"
"268","ENSG00000101310"
"269","ENSG00000163069"
"270","ENSG00000114631"
"271","ENSG00000161847"
"272","ENSG00000037474"
"273","ENSG00000160803"
"274","ENSG00000102024"
"275","ENSG00000270647"
"276","ENSG00000166197"
"277","ENSG00000166508"
"278","ENSG00000160877"
"279","ENSG00000197977"
"280","ENSG00000104341"
"281","ENSG00000160293"
"282","ENSG00000104738"
"283","ENSG00000135821"
"284","ENSG00000102317"
"285","ENSG00000179958"
"286","ENSG00000075415"
"287","ENSG00000104894"
"288","ENSG00000267135"
"289","ENSG00000130635"
"290","ENSG00000233328"
"291","ENSG00000070669"
"292","ENSG00000175166"
"293","ENSG00000119335"
"294","ENSG00000185624"
"295","ENSG00000141905"
"296","ENSG00000140391"
"297","ENSG00000074410"
"298","ENSG00000151892"
"299","ENSG00000198727"
"300","ENSG00000143321"
"301","ENSG00000103266"
"302","ENSG00000162302"
"303","ENSG00000178531"
"304","ENSG00000154274"
