"","x"
"1","ENST00000361453"
"2","ENST00000361681"
"3","ENST00000578921"
"4","ENST00000306107"
"5","ENST00000217026"
"6","ENST00000271332"
"7","ENST00000530721"
"8","ENST00000014914"
"9","ENST00000216281"
"10","ENST00000265087"
"11","ENST00000433655"
"12","ENST00000321867"
"13","ENST00000396856"
"14","ENST00000412097"
"15","ENST00000394166"
"16","ENST00000291527"
"17","ENST00000280258"
"18","ENST00000217182"
"19","ENST00000330244"
"20","ENST00000295598"
"21","ENST00000269593"
"22","ENST00000524420"
"23","ENST00000552959"
"24","ENST00000621442"
"25","ENST00000001008"
"26","ENST00000488803"
"27","ENST00000324460"
"28","ENST00000360384"
"29","ENST00000388913"
"30","ENST00000451311"
"31","ENST00000428169"
"32","ENST00000267116"
"33","ENST00000336023"
"34","ENST00000544368"
"35","ENST00000379982"
"36","ENST00000361436"
"37","ENST00000451283"
"38","ENST00000475167"
"39","ENST00000331569"
"40","ENST00000297261"
"41","ENST00000404739"
"42","ENST00000361335"
"43","ENST00000438213"
"44","ENST00000588991"
"45","ENST00000325455"
"46","ENST00000429437"
"47","ENST00000393183"
"48","ENST00000503252"
"49","ENST00000485827"
"50","ENST00000368097"
"51","ENST00000315491"
"52","ENST00000550767"
"53","ENST00000545215"
"54","ENST00000201031"
"55","ENST00000340913"
"56","ENST00000542575"
"57","ENST00000548470"
"58","ENST00000318911"
"59","ENST00000304921"
"60","ENST00000361567"
"61","ENST00000262138"
"62","ENST00000322128"
"63","ENST00000261167"
"64","ENST00000549183"
"65","ENST00000354275"
"66","ENST00000569669"
"67","ENST00000548815"
"68","ENST00000464611"
"69","ENST00000339399"
"70","ENST00000544848"
"71","ENST00000403734"
"72","ENST00000550050"
"73","ENST00000394815"
"74","ENST00000333762"
"75","ENST00000368309"
"76","ENST00000589997"
"77","ENST00000354434"
"78","ENST00000356638"
"79","ENST00000538945"
"80","ENST00000325327"
"81","ENST00000445125"
"82","ENST00000319248"
"83","ENST00000374517"
"84","ENST00000447699"
"85","ENST00000295899"
"86","ENST00000420536"
"87","ENST00000280800"
"88","ENST00000526143"
"89","ENST00000261622"
"90","ENST00000577731"
"91","ENST00000590986"
"92","ENST00000371646"
"93","ENST00000268035"
"94","ENST00000318008"
"95","ENST00000294189"
"96","ENST00000529681"
"97","ENST00000344347"
"98","ENST00000396705"
"99","ENST00000282388"
"100","ENST00000473257"
"101","ENST00000025399"
"102","ENST00000335181"
"103","ENST00000300933"
"104","ENST00000534831"
"105","ENST00000551679"
"106","ENST00000380244"
"107","ENST00000542056"
"108","ENST00000585242"
"109","ENST00000229201"
